Região,Unidade_Federação,Ano,Metas
São Paulo,Pública,2009,4.9
São Paulo,Pública,2011,5.3
São Paulo,Pública,2013,5.6
São Paulo,Pública,2015,5.8
São Paulo,Pública,2017,6.1
São Paulo,Pública,2019,6.3
São Paulo,Pública,2021,6.6
Tocantins,Estadual,2007,3.7
Tocantins,Estadual,2009,4
Tocantins,Estadual,2011,4.5
Tocantins,Estadual,2013,4.7
Tocantins,Estadual,2015,5
Tocantins,Estadual,2017,5.3
Tocantins,Estadual,2019,5.6
Tocantins,Estadual,2021,5.9
Tocantins,Privada,2007,5.7
Tocantins,Privada,2009,5.9
Tocantins,Privada,2011,6.3
Tocantins,Privada,2013,6.5
Tocantins,Privada,2015,6.7
Tocantins,Privada,2017,6.9
Tocantins,Privada,2019,7.1
Tocantins,Privada,2021,7.3
Tocantins,Pública,2007,3.5
Tocantins,Pública,2009,3.8
Tocantins,Pública,2011,4.2
Tocantins,Pública,2013,4.5
Tocantins,Pública,2015,4.8
Tocantins,Pública,2017,5.1
Tocantins,Pública,2019,5.4
Tocantins,Pública,2021,5.7
